,lane_ID,id,parent_id,time_sec,length_um,gfp_nb
761,20190515.0.10,48,40,23760,2.145,13830.481841220002
762,20190515.0.10,48,40,23940,2.21,14862.27991248
763,20190515.0.10,48,40,24120,2.34325,15095.241956520002
764,20190515.0.10,48,40,24300,2.405,15691.65597054
765,20190515.0.10,48,40,24480,2.4758500000000003,16135.9433334
766,20190515.0.10,48,40,24660,2.5441000000000003,16791.729857100003
767,20190515.0.10,48,40,24840,2.55125,16786.08487512
768,20190515.0.10,48,40,25020,2.73,17600.86574928
769,20190515.0.10,48,40,25200,2.795,18289.3645836
770,20190515.0.10,48,40,25380,2.8717,18953.71899696
771,20190515.0.10,48,40,25560,3.0615,20006.06084136
772,20190515.0.10,48,40,25740,3.12,21201.12542988
773,20190515.0.10,48,40,25920,3.25,22170.55840164
774,20190515.0.10,48,40,26100,3.315,23136.00433848
775,20190515.0.10,48,40,26280,3.38,24174.79668252
776,20190515.0.10,48,40,26460,3.4450000000000003,24711.972999120004
777,20190515.0.10,48,40,26640,3.64195,26530.7397894
778,20190515.0.10,48,40,26820,3.77,27596.85026472
779,20190515.0.10,48,40,27000,3.835,28035.857692260004
780,20190515.0.10,48,40,27180,3.97475,29299.7614338
781,20190515.0.10,48,40,27360,4.234750000000001,30795.6450384
782,20190515.0.10,49,40,23400,1.8382,14092.258403520002
783,20190515.0.10,49,40,23580,1.86095,13879.72151874
784,20190515.0.10,49,40,23760,1.9773000000000005,14898.396441060002
785,20190515.0.10,49,40,23940,2.0384,15692.609988
786,20190515.0.10,49,40,24120,2.1216,16197.54289362
787,20190515.0.10,49,40,24300,2.1879,16473.77421228
788,20190515.0.10,49,40,24480,2.30425,17183.43597366
789,20190515.0.10,49,40,24660,2.37185,17996.66064702
790,20190515.0.10,49,40,24840,2.43295,18443.12494662
791,20190515.0.10,49,40,25020,2.4882,18662.30113176
792,20190515.0.10,49,40,25200,2.6767,20710.48026564
793,20190515.0.10,49,40,25380,2.7475500000000004,21370.05115542
794,20190515.0.10,49,40,25560,2.886,22951.76800752
795,20190515.0.10,49,40,25740,3.01275,23630.26838238
796,20190515.0.10,49,40,25920,3.13885,24683.73441336
797,20190515.0.10,49,40,26100,3.14145,25704.10175652
798,20190515.0.10,49,40,26280,3.21035,26756.7412365
799,20190515.0.10,49,40,26460,3.3917,28665.755818920003
800,20190515.0.10,49,40,26640,3.5204,30875.535535680003
801,20190515.0.10,49,40,26820,3.64,32326.705592280003
802,20190515.0.10,49,40,27000,3.85125,33131.4555429
803,20190515.0.10,49,40,27180,3.97085,35757.831229560004
804,20190515.0.10,54,49,27360,1.885,16846.973597520002
805,20190515.0.10,54,49,27540,2.02735,18038.41182198
806,20190515.0.10,54,49,27720,2.08,18376.561134360003
807,20190515.0.10,54,49,27900,2.12875,18361.83223908
808,20190515.0.10,54,49,28080,2.2386,19027.85720022
809,20190515.0.10,54,49,28260,2.3569,19922.75938422
